S100A8|CAGA|MRP8 S100A9|CAGB|MRP14
S100A9|CAGB|MRP14 S100A8|CAGA|MRP8
TRP3 IP3R-3
IP3R-3 TRP3
TRP3 IP3R-3
ARG|ABL2|ABLL ArgBP1A
hnRNPK TBP
hnRNPK TBP
MPB-1 MIP-2A
MPB-1 MIP-2A
MPB-1 MIP-2A
MIP-2A MPB-1
MPB-1 MIP-2A
PQBP-1|JM26|NPW38 NPWBP
PQBP-1|JM26|NPW38 NPWBP
PQBP-1|JM26|NPW38 NPWBP
PQBP-1|JM26|NPW38 NPWBP
RB1 BRF|BRF1
RBL1 BRF|BRF1
RB2|RBL2 BRF|BRF1
RB1 BRF|BRF1
RB2|RBL2 BRF|BRF1
RBL1 BRF|BRF1
BRF|BRF1 RBL1
BRF|BRF1 RB2|RBL2
BRF|BRF1 RB2|RBL2
BRF|BRF1 RBL1
SLC2A1|GLUT1 EPB72|BND7
EPB72|BND7 SLC2A1|GLUT1
PEX12|PAF3 PXR1|PEX5
PEX12|PAF3 PXR1|PEX5
PEX12|PAF3 PEX10
PEX12|PAF3 PEX10
BTK|ATK|AGMX1|BPK PRKCM|PKD
PRKCM|PKD BTK|ATK|AGMX1|BPK
BTK|ATK|AGMX1|BPK PRKCM|PKD
POU3F2|BRN2|OTF7|OCT7 PQBP-1|JM26|NPW38
POU3F2|BRN2|OTF7|OCT7 PQBP-1|JM26|NPW38
IGF1R IGF1R
ATOX1|HAH1 ATP7B|WND|PWD|WC1
ATOX1|HAH1 ATP7B|WND|PWD|WC1
ATP7B|WND|PWD|WC1 ATOX1|HAH1
ATP7A|MNK|MC1 ATOX1|HAH1
FZD1 WNT3A
WNT3A FZD1
FZD1 WNT5A
WNT5A FZD1
NCF2 NCF4
PTK2|FAK1|FAK PXN
PTK2|FAK1|FAK PXN
PTK2|FAK1|FAK VCL
PTK2|FAK1|FAK BCAR1|CRKAS|CAS
PLAUR IL6ST
ARNT ARNT
PKD1 PKD2
PKD2 PKD1
PKD1 PKD2
HIF1A ARNT
ARNT HIF1A
GNAI2 IL8RA|CXCR1
FBN1|FBN FBN2
GR HNRPU
GR HNRPU
HNRPU GR
ARNT HIF1A
MLL SET
MLL SET
MLL SET
SET PPP2R1B
SET PPP2CA
MLL|HRX|ALL1|TRX1|HTRX GADD34
MLL|HRX|ALL1|TRX1|HTRX GADD34
MLL|HRX|ALL1|TRX1|HTRX GADD34
MLL|HRX|ALL1|TRX1|HTRX GADD34
LYN GADD34
LYN GADD34
LYN GADD34
GADD34 LYN
LYN GADD34
LRP1 LRP1
LRP1 LRP1
IL-9R HTATIP|TIP60
IL-9R HTATIP|TIP60
IL-9R HTATIP|TIP60
IL-9R HTATIP|TIP60
IL-9R HTATIP|TIP60
IL-9R HTATIP|TIP60
IL-9R HTATIP|TIP60
IL-9R HTATIP|TIP60
IL-9R HTATIP|TIP60
IL-9R HTATIP|TIP60
HTATIP|TIP60 IL-9R
HTATIP|TIP60 IL-9R
HTATIP|TIP60 IL-9R
HTATIP|TIP60 IL-9R
ZNF74 POLR2A
ZNF74 POLR2A
MAP4K3 TRAF2|TRAP3
MAP4K3 TRAF2|TRAP3
TRAF2|TRAP3 MAP4K3
MAP4K3 TRAF2|TRAP3
GP1BB GP1BA
MST1|STK4 MST1|STK4
MST1|STK4 MST1|STK4
MST1|STK4 MST1|STK4
CTNNA1 ACTN1
CDH1 CTNNB1
CTNNB1 CDH1
CDH1 CTNNA1
SP1|TSFP1 NFYA
GRB2|ASH ADA
ADA GRB2|ASH
ADA GRB2|ASH
APOH LPA
TUBG KRT18|CYK18
TUBG KRT19
SGF3G STAT2
SGF3G STAT2
STAT2 SGF3G
LBP APOA1
PLCG1 ACTB
LBP FHR1
FHR1 LBP
PICALM|CALM CLTC|CLH17|KIAA0034
PICALM|CALM CLTC|CLH17|KIAA0034
PICALM|CALM CLTC|CLH17|KIAA0034
CLTC|CLH17|KIAA0034 PICALM|CALM
PICALM|CALM CLTC|CLH17|KIAA0034
PICALM|CALM CLTC|CLH17|KIAA0034
PEX3 PXF|HK33|PEX1
PEX3 PXF|HK33|PEX1
APP APOE
APP APOE
CTLA4 AP2M1
CTLA4 AP2M1
DDIT3|CHOP|GADD153 CEBPB|TCF5
