1	2	0.957
3	1	0.957
1	3	0.96
2	3	0.949
4	1	0.952
3	4	0.948
1	4	0.949
5	4	0.951
3	5	0.961
4	5	0.945
1	5	0.957
6	1	0.944
6	3	0.954
7	3	0.939
3	7	0.94
4	7	0.961
1	7	0.942
5	7	0.949
3	8	0.951
4	8	0.98
1	8	0.96
5	8	0.954
8	4	0.935
3	9	0.967
4	9	0.947
6	9	0.957
1	9	0.943
6	7	0.948
9	7	0.954
10	4	0.954
10	1	0.953
3	11	0.948
4	11	0.966
1	11	0.957
5	11	0.942
8	11	0.947
5	1	0.961
8	1	0.954
11	1	0.953
12	4	0.959
12	11	0.932
13	4	0.959
6	13	0.949
14	7	0.941
14	4	0.944
3	15	0.965
4	15	0.957
6	15	0.836
10	15	0.952
1	15	0.945
5	15	0.951
8	15	0.952
11	15	0.956
2	15	0.947
7	15	0.938
10	16	0.999
10	13	0.946
16	13	0.952
3	17	0.953
4	17	0.964
1	17	0.949
5	17	0.945
8	17	0.942
10	17	0.936
12	17	0.957
13	17	0.956
14	17	0.938
10	11	0.949
13	11	0.937
14	11	0.946
17	11	0.953
3	18	0.949
4	18	0.936
1	18	0.937
5	18	0.941
8	18	0.961
12	18	0.948
10	18	0.937
13	18	0.949
14	18	0.951
17	18	0.956
11	18	0.937
18	11	0.948
3	19	0.949
4	19	0.955
1	19	0.959
5	19	0.943
8	19	0.959
10	19	0.957
12	19	0.955
13	19	0.958
14	19	0.932
12	1	0.919
13	1	0.949
14	1	0.946
19	1	0.945
20	7	0.95
3	20	0.973
4	20	0.944
6	20	0.946
10	20	0.954
1	20	0.978
5	20	0.944
8	20	0.95
11	20	0.951
12	20	0.859
13	20	0.943
14	20	0.754
19	20	0.965
6	21	0.92
10	21	0.956
16	21	0.941
13	21	0.928
3	21	0.934
4	21	0.941
1	21	0.941
5	21	0.94
1	22	0.948
2	22	0.942
6	22	0.954
7	22	0.956
3	22	0.944
2	1	0.953
7	1	0.951
22	1	0.967
3	23	0.947
4	23	0.943
1	23	0.957
5	23	0.96
6	23	0.949
9	23	0.936
14	23	0.938
20	23	0.954
7	23	0.999
24	13	0.951
24	23	0.94
25	13	0.957
3	25	0.95
4	25	0.953
1	25	0.946
5	25	0.927
8	25	0.956
12	25	0.935
10	25	0.953
13	25	0.946
14	25	0.962
17	25	0.958
11	25	0.956
18	25	0.953
