#Original graph size: 25 nodes, 43 edges
#Modified graph size: 18 nodes, 41 edges
#Probing for 5 times..................................................
#V	E	P	T
10	21	1	0
11	22	1	0
10	21	1	0
11	25	1	0
10	23	1	0
12	28	1	0
11	24	1	10
11	23	1	0
11	26	1	0
11	24	1	0
9	18	1	0
10	22	1	0
11	25	1	0
12	28	1	0
10	22	1	0
12	27	1	0
11	25	1	0
12	26	1	0
11	25	1	0
10	23	1	0
11	24	1	0
11	23	1	0
12	28	1	0
8	18	1	0
12	25	1	0
10	21	1	0
13	29	1	0
12	27	1	0
10	22	1	0
10	22	1	0
10	22	1	0
14	30	1	0
12	27	1	0
13	27	1	0
8	15	1	0
11	25	1	0
12	27	1	0
10	19	1	0
11	25	1	0
11	25	1	0
10	21	1	0
12	28	1	0
8	16	1	0
13	26	1	0
10	21	1	0
10	20	1	0
11	25	1	0
8	17	1	0
10	24	1	0
12	27	1	0
12	25	1	0
10	23	1	0
11	24	1	0
9	20	1	0
12	27	1	0
12	27	1	0
8	16	1	0
14	30	1	0
13	30	1	0
12	26	1	0
14	30	1	10
12	26	1	0
10	23	1	0
10	22	1	0
10	22	1	0
12	25	1	0
11	26	1	0
10	21	1	0
11	25	1	0
10	22	1	0
11	24	1	0
12	28	1	0
12	26	1	0
12	27	1	0
11	25	1	0
12	27	1	0
13	29	1	0
11	25	1	0
11	24	1	0
12	26	1	0
11	25	1	0
11	24	1	0
11	23	1	0
8	15	1	0
11	24	1	0
11	24	1	0
12	28	1	0
12	27	1	0
12	27	1	0
12	28	1	0
10	22	1	0
8	16	1	0
11	25	1	0
9	19	1	0
10	22	1	0
11	26	1	0
13	29	1	0
12	27	1	0
11	24	1	0
14	29	1	0
9	20	1	0
10	24	1	0
12	26	1	0
12	28	1	0
12	27	1	0
11	24	1	0
12	27	1	0
11	26	1	0
10	22	1	0
11	22	1	0
12	27	1	0
14	29	1	0
9	19	1	0
11	24	1	0
16	34	1	0
13	28	1	0
11	23	1	10
10	23	1	0
12	26	1	0
11	25	1	0
11	26	1	0
12	28	1	0
10	21	1	0
9	21	1	0
10	23	1	0
14	31	1	0
14	31	1	0
10	23	1	0
11	24	1	0
12	27	1	0
9	20	1	0
11	23	1	0
13	30	1	0
12	27	1	0
14	31	1	0
11	24	1	0
11	24	1	0
12	28	1	0
12	27	1	0
11	25	1	0
9	19	1	0
10	22	1	0
13	28	1	0
12	28	1	0
11	24	1	0
11	23	1	0
12	27	1	0
9	19	1	0
10	24	1	0
12	27	1	0
8	17	1	0
13	29	1	0
9	19	1	0
14	31	1	0
11	26	1	0
13	28	1	0
8	18	1	0
11	25	1	0
10	23	1	0
11	23	1	10
13	30	1	0
12	26	1	0
10	22	1	0
10	21	1	0
11	25	1	0
12	28	1	0
13	29	1	0
10	24	1	0
13	28	1	0
12	25	1	0
9	20	1	0
13	28	1	0
12	27	1	0
12	27	1	0
11	26	1	0
9	19	1	0
11	25	1	0
12	28	1	0
10	22	1	0
11	25	1	0
12	27	1	0
11	24	1	0
11	24	1	0
10	21	1	0
11	23	1	0
10	22	1	0
10	23	1	0
12	26	1	0
14	30	1	0
11	24	1	0
10	23	1	0
11	23	1	0
9	20	1	0
12	27	1	0
11	25	1	0
12	25	1	0
12	26	1	0
11	25	1	0
13	28	1	0
10	22	1	0
11	26	1	0
10	23	1	0
12	26	1	0
11	24	1	0
13	27	1	0
11	24	1	0
14	29	1	10
12	27	1	0
12	26	1	0
11	23	1	0
12	27	1	0
12	26	1	0
14	31	1	0
12	26	1	0
12	27	1	0
10	22	1	0
13	29	1	0
11	25	1	0
11	24	1	0
12	28	1	0
11	25	1	0
10	22	1	0
11	26	1	0
11	25	1	0
14	32	1	0
12	27	1	0
13	30	1	0
10	21	1	0
8	16	1	0
10	23	1	0
14	29	1	0
14	31	1	0
12	26	1	0
10	23	1	0
8	16	1	0
9	21	1	0
12	26	1	0
11	25	1	0
13	29	1	0
12	26	1	0
12	26	1	0
12	28	1	0
7	13	1	0
11	23	1	0
9	18	1	0
10	21	1	0
11	24	1	0
12	27	1	0
10	21	1	0
11	24	1	0
12	26	1	0
5	9	1	0
12	27	1	0
12	27	1	0
10	22	1	0
13	30	1	10
12	27	1	0
12	27	1	0
12	28	1	0
13	29	1	0
10	22	1	0
